	P4. 양*선
양*선	"근데 이거는 공부가 너무 많아가지고 이거를 다 읽고 있기에는 시간이 부족하잖아요.
그래서 아까 말씀드렸다시피 유튜브에 제가 궁금한 거 찾아보면은 유튜브를 들을 수 있잖아요.
그 주 배속으로 항상 듣거든요. 정보는 이거를 읽고 있어야 되니까 이게 스테이블 코인 대충 아는 거고 비슷비슷한 알고 있는 내용을 또 들어가서 글로 읽는 것 자체가 흥미가 느껴지지 않는 것 같아요.
요즘은 유튜브가 하도 잘 돼 있고 애널리스트로 유튜브 많이 하잖아요.
그런 식으로 정보를 많이 얻지 여기에서 뉴스 리서치 이거를 막 보고 있지는 않은 것 같아요."
진행자	"알겠습니다. 조금 더 이제 빠르게 뭔가 정보를 얻을 수 있는 방법이 필요하다 이렇게 의견 주신 걸로 이해하고 다음 단계로 한번 넘어가 볼 텐데요.
지금 해본 게 어떤 상황을 좀 가정을 하고 홈 화면에서 어떻게 하실지 또 실제로 이용하는 과정들을 한번 해봤잖아요.
지금부터는 이제 각 메뉴별로 짧게 한번 다시 확인하실 시간 드리고 몇 가지 질문을 이제 추가로 드려보려고 합니다.
홈 화면은 저희가 이제 쭉 봤었는데요. 일단 앞에 놓인 이제 평가지를 날짜 이름 작성해 주시고 오늘 29일이고요.
날짜 작성해 주시고 넘어가 보도록 하겠습니다."
진행자	"홈 화면 바로 지금 탐색했으니까 바로 좀 질문드리면서 시작을 해볼게요.
혹시 홈 내용 보시면서 이제 관심이 가거나 도움이 되는 내가 투자하는데 도움이 되는 내용이 있었는지 방금도 말씀 주셨지만 한번 다시 한 번 언급해 주시면서 위에서부터 좀 스크롤하면서 내리시면서 다시 봐주시고"
양*선	일단 첫 번째 나와 있는 코스피 코스닥 여기 나와 있는 게 직관적이라서 좋았고 그리고 밑에 보다 보면은
양*선	종목 랭킹 중에 다양한 국가에 대한 주식 랭킹이 있어서 미국 정도는 제가 이제 클릭해 볼 수 있는 흥미를 느끼게 된 화면이었던 것 같고
진행자	네
양*선	"코인 정보도 있어서 부가적으로 따로 찾아보지 않아도 여기서 한 번에 확인할 수 있는 이런 편의성이 좋았고 그리고 내가 이런 가능성 아니면은 예측 이런 이런 게 약간 흥미로웠던 분위기예요.
고기랑 이"
진행자	"기존에는 이제 네이버 페이 이제 PC 서비스 종목을 검색하는 정도로만 이용을 하고 계신다고 말씀 주셨잖아요.
혹시 이제 바뀐 홈을 좀 보셨을 때는 어떤 상황에 좀 이용할 것 같다고 생각하세요?"
양*선	이 화면을 보기 위해서 들어가지는 않을 것 같고 종목 아까 말씀드렸다시피 종목을 검색하면서 부가적으로는 이용할 것 같아요.
진행자	부가적으로요. 종목 상세를 이용하면서 뭔가 부가적으로 이 홈 화면이나 이런 데를 이용한다고 말씀 주신 거는 좀 어떤 상황을 생각하시면서 떠올리시면서 말씀 주신 건지 궁금합니다.
양*선	"아무래도 모바일 쪽에서는 이 화면이 한 화면에 들어가 있지 않아서 놓치는 것도 있긴 있을 거예요.
제가 맨날 보던 것만 봐서 그래서 가끔씩 메일은 아니더라도 종목 확인하면서 들어갔을 때 이렇게 한 번씩 보면은 아까 발견하지 못했던 분위기 예복이라든가 이런 콘텐츠 이런 거는 좀 흥미가 있으니까 이런 게 새롭게 있었구나라는 생각이 좀 드는 거"
진행자	"혹시 그런 상황에 가끔 이렇게 들어와서 만약에 보신다라고 하면은 어떤 게 좀 더 필요할 것 같으세요?
어떤 게 더 좀 더 필요하세요?"
양*선	"이렇게 보다가 궁금한 게 있을 때 사람마다 궁금한 게 또 다르잖아요.
그래서 검색을 해야 되는데 이거 유튜브가 좀 연계가 되어 있으면 좋겠다는 생각이"
진행자	유튜브요
양*선	너무 다 글이라서 그냥 어떤 화면 같은 걸 클릭하면 바로 그냥 음성으로 들을 수 있는 그런 게 좀 연계되었으면 좋겠다라는
진행자	"영상이나 음성 콘텐츠들이 좀 같이 연계가 되면 좋겠다라는 기대 사항 말씀해 주셨습니다.
혹시 뭐 화면 보시면서 이해되지 않는 내용은 없으셨나요?"
양*선	대체적으로 그냥 이해는 다 되는 것 같아
진행자	"그렇군요. 알겠습니다. 하나하나 지금 콘텐츠 보면서 조금 더 여쭤보고 싶은 게 있는데 아까 이제 분위기 엿보기 같은 부분들을 설명해 주셨던 것처럼 좀 더 여쭤보고 싶은 게 이제 ETF 보면서는 아까 보시면서 ETF는 아직 안 하고 있으니까 하면서 넘어가시긴 했잖아요.
근데 만약에 ETF를 내가 투자한다라고 하면 여기 보여지고 있는 이런 추천들이 어떻게 좀 느껴지실지 한번 읽어보시면 어떨까요?"
양*선	이거 안 되는 거예요. 이것도 계
진행자	네 그냥 이제 문구들이나 이런 걸 좀 봤을 때 오른쪽에 나타나는 모습은 이제 같다라고 가정을 하고
양*선	"지금 ETF가 할 만한 게 반도체나 아니면 이런 거잖아요.
그래서 반도체 제일 많이 오른 이런 거 스타 이너빌리티 있는 게 원자력 위쪽에 제일 관심이 있으니까 1위 2위 이렇게 뜨면은 클릭해 볼 것 같아요.
관심은 있거든요. ETF 근데 너무 높낮이가 그렇게 크지 않아가지고 아직"
진행자	"ETF에서 뭔가 지금 탐색을 하신다면 방금 말씀 주신 거는 좀 섹터 ETF를 좀 찾아보고 싶으세요?
네 그럼 여기 나와 있는 이런 문구들이나 이런 추천들이 그럼 내가 반도체나 원자력 섹터를 찾아가는 데 도움이 되나요?"
양*선	"자극적이면 좋을 것 같은데 지금은 그냥 트럼프잖아요.
트럼프 때문에 높낮이가 계속 그러니까 그냥 트럼프와 관련된 ETF 이러면은 쭉 나올 거 아니에요?
그게 나을 것 같아요. 검색 이거는 항상 보던 거라서 그냥 지루하잖아요.
가장 많이 오른 근데 그냥 트럼프니까 지금은 주식은 그래서 트럼프가 8월 1일 날 저희가 네 세금이 되는 거죠.
관세 그게 확정이 되니까 그전까지는 엄청 오르고 내릴 거 아니에요?
그전까지 계속 트럼프에 관한 타이틀이 있으면은 이건가 하면서 클릭"
진행자	"그런 기준으로 좀 추천에 대한 더 관심이 생길 것 같다 이렇게 조언을 해 주셨습니다.
위쪽으로 좀 넘어가 보면 이 지수 관련된 얘기도 해 주셨어요.
처음 들어와서 말씀 주신 거는 뭔가 이제 글씨 이제 등락률에 대한 글씨가 작다 이런 얘기는 좀 해 주셨던 걸로 기억이 나는데 상단에 이제 지수를 구성하고 있는 영역에 대해서 어떻게 생각하시는지 좀 더 구체적으로 의견 여쭤보고 싶습니다.
일단 이거 눌러보면은 저희가 하나씩 좀 탭 확인하실 수 있도록 만들어 놨거든요.
여기 네네 좀 눌렀다고 그냥 순서대로 이동을 하는데 그럼 눌렀다고 가정하고 보시면 좋을 것 같습니다.
이렇게 지수 영역을 좀 구성하고 있는 거에 대해서 어떻게 생각하시는지 먼저 여쭤보고 싶습니다."
양*선	"그냥 그렇구나 그렇구나 좀 더 컸으면 좋겠어요. 그리고 좀 더 여기가 이 글로벌 시장이 뉴스보다도 이게 더 좀 컸으면 좋겠어요.
내가 코스피 코스닥이니까 없으면 좋겠다."
진행자	"그렇군요. 그러면 지금 6개 정도가 한 화면에 지금 보이고 있잖아요.
처음에 이제 처음으로 넘어가 보면 주요 지표를 제가 한번 넘어가 볼게요.
잠시만요. 제가 저 시작하겠습니다. 네 이 화면으로 시작했잖아요.
지금 6개 정도의 지표가 보이고 있는데 컸으면 좋겠다라는 말씀은 뭔가 개수가 좀 줄어들더라도 주요한 지표가 더 크게 보여야 된다 이렇게 이해를 해야 될까요?"
양*선	"한 화면에 보는 게 좋긴 하거든요. 코스피 코스닥 나스닥이나 SMP나 달러나 이게 한눈에 보여서 딱 좋긴 한데 그냥 이게 더 컸으면 좋겠어요.
여기 한 2배 정도 6개 들어 있는 건 좋은 것 같아요.
그럼 비교가 가능하니까"
진행자	근데 지금 또 말씀 주시면서는 코스피 200은 빼고 나머지 5개 말씀해 주셨는데 혹시 중요하게 생각하시는 우선순위가 있으신가요?
양*선	안 그래도 코스피랑 코스닥 많이 보지 않나 코스피 2200 200원
진행자	뭔가 상대적으로는 중요도가 좀 떨어진다. 이렇게
양*선	"코스피 코스닥 그리고 나스닥 SMP 그리고 us 날아갈 정도로 엔화도 괜찮은 것 같아요.
엔화"
진행자	"어쨌든 한눈에 보이는 건 좋지만 좀 더 커야 된다 이렇게 말씀 주셨고 구성되고 있는 항목에 대해서는 적절하지만 코스피 이득보다는 좀 엔화가 좀 더 적절할 것 같다 이렇게 말씀 주셨고요.
알겠습니다. 마지막으로 이제 이 가운데 있는 영역에 대해서는 어떤 내용으로 좀 이해가 되시는지 저희 좀 설명 이해되시는 대로 설명해 주시면 좋을 것 같습니다."
양*선	"아무래도 주식에 영향이 가는 그 뉴스 같은 거 있잖아요.
종목의 요즘에는 원자력 같은 거 AI 전략 때문에 원자력이 많이 뜨고 있으니까 그런 거에 대한 뉴스 같은데요."
진행자	"그냥 뉴스가 뉴스인 것 같다 이렇게 말씀해 주신 거군요.
알겠습니다. AI가 읽은 이 시간 글로벌 시장은 이런 타이틀이 있었고요.
그 아래 있는 문구가 있는데 이 타이틀이나 문구 읽었을 때는 콘텐츠에 대해서 어떻게 생각이 되시는지 한 번 더 여쭤보겠습니다."
양*선	AI가 있는 그룹 근데 요즘에 AI 많이 활용하니까 그래도 애널리스트들이 자기 주관에 따라서 판단한 것 같지는 않고 그래도 AI 많이 보니까 많이 봤던 내용 많이 되게 중요한 뉴스인가라는 생각이 들고 그리고 SMP 태풍의 마감률 우리나라도 오르겠구나
진행자	"알겠습니다. AI가 요약한 것 같다 이렇게 좀 이해가 된다고 말씀 주신 걸로 이해하겠습니다.
다음으로 한번 넘어가 보겠습니다. 넘어가기 전에 앞에 있는 이제 평가지에 각 문항의 문장에 동의하시는 대로 평가 좀 해 주시면 좋겠습니다."
진행자	"혹시 각 항목에 대해서 좀 평가 주신 것 중에 방금 저희가 이야기하지 않았던 뭔가 코멘트 주실 만한 게 더 있을까요?
평가해 주시면서 좀 생각하시는 거 디자인 같은 경우에는 4점을 주셨어요.
혹시 어떤 부분이 좀 부족하다라고 생각하셔서 주신 건지 궁금합니다."
양*선	"디자인 아까 말씀드린 대로 이런 코스피나 코스닥 이런 게 좀 더 컸으면 좋겠다는 느낌이랑 그리고 AI가 읽은 이런 글로벌 시장은 살짝 밑으로 내려갔으면 좋겠다.
이거보다도 제가 가지고 있는 종목이 딱 바로 나오거나 토론 글 어차피 토론 글이 좀 약간 재미있잖아요.
네이버에서는 그런 게 좀 올라와 있으면 좋겠다는"
진행자	알겠습니다. 종목 상세 화면으로 한번 이동을 해서 동일하게 한번 탐색하시는 시간을 조금 더 가져보고 의견을 그런 것이
진행자	"네 한번 쭉 확인해 보셨는데 혹시 일단 어떠셨던 것 같은지 이제 의견 여쭤보고 싶습니다.
드시는 생각들"
양*선	"여기 이거 화 시세 정보나 이런 게 그래프까지 한 화면에 있어서 보기 편하다.
네 보통 모바일로 주식 미래에 볼 때도 이 화면이랑 이 화면이랑 다 따로따로 있어가지고 들어가야 되거든요.
그래서 항상 아까 말씀드린 거래량 같은 것도 눌러야지 들어갈 수 있게 되어 있는데 이거 그냥 한 화면이라서 보기는 편리하다라는 생각이 드"
진행자	"이런 종목 상세 페이지는 어떤 상황에 좀 이용할 것 같으세요?
어떤 내용들을 보기 위해서 이용할 것 같은지 궁금합니다."
양*선	편하게 보기 위해서 편하게 보기 위해서 거래보다도 그냥 편하게 한눈에 이게 얼마 얼마 거래량이나 아니면 그래프 지금 호가가 얼마인지 한눈에 볼 때 이용할 것 같아
진행자	"그럼 한눈에 이런 정보들을 확인하는데 지금 이용하는 상황에서 어떤 것들이 좀 더 필요하다라고 느껴지세요?
상단에 있는 메뉴도 이렇게 한번 좀 보셨었는데 더 좀 필요하다고 생각되시는 것들이 있는지"
양*선	"이 목표 주가를 지금 누가 누가 한 건지 이거 약간 공신력 어디서 했는지 잘 안 보이거든요.
어느 증권사에서나 이런 거 좀 정보가 필요할 것 같고"
양*선	정보는 다 들어가 있는 것 같아요.
진행자	"방금 이제 목표 주가 부분 보시면서 어떤 증권사에서 평가한 건지 좀 공신력이 있는 건지 좀 궁금하다 이렇게 말씀 주셨잖아요.
이런 내용들 더불어서 화면 보시면서 좀 이해가 되지 않는 그런 내용도 있었을까요?"
양*선	대체적으로 이해는 가는 것 같아요. 보기에도 편하고 일단
진행자	"왼쪽 영역이랑 저희가 차트 영역 관련해서는 얘기를 좀 많이 나눴는데 오른쪽에 있는 부분에 대해서는 따로 의견 주신 게 좀 없었어요.
그래서 우측 영역에서는 어떤 정보가 눈에 띄시는지 좀 여쭤보고 싶습니다."
양*선	"여기 종목 토론 토론이 여기 옆에 있는 거예요. 종목 토론 그렇게 생각해도 되세요?
이거랑 옆에 있는 거랑 다른 건가 이거는 왠지 실시간으로 올라올 것 같고 네이버 카카오톡 같은 거 있잖아요.
요즘 재밌는 프로그램 있으면은 서로 종목 교환할 수 있는 그런 건가라는 생각이 좀 드는데 그냥 관심이 있을 때는 볼 것 같아요.
이게 실시간으로 이 사람들이 뭘 생각하는지 물론 100% 믿지는 않겠지만 대충 이런 식으로 재미있는 프로그램 보면 저는 들어가거든요.
그런 것처럼 보긴 할 것 같아요. 실제적으로 쓰진 않아도 보긴 할 것 같고 뉴스나 공시 같은 것도 오르면은 이유가 있을 거 아니에요 네 그냥 그런 경제 경제지 같은 거 어떤 거 대충 보면서 클리 클리서 볼 것 같아요.
알겠습니다."
진행자	"아니 토론 메뉴에서는 뭔가 어떤 내용들을 보실 것 같으세요?
만약에 이제 들어온 상황이라고 하면 실제 이용하시는 상황이라면 어떤 정보들을 이용할 것 같으신지 궁금합니다."
양*선	돼지고기만 먹어
진행자	난 주주들만 보게요.
양*선	어차피 자기가 가지고 있으니까 쓸 거 아니에요 그냥 인플루언서보다 주주 가지고 있는 거 클릭해서 볼 것 같고
진행자	"우측에 이제 오픈톡이라든지 연관 종목 확글 이런 내용들 있잖아요.
보여지는 모습들을 조금 더 확인했을 때 실제로 이런 상황이라고 가정하면 어떤 내용이 좀 더 있으면 좋을 것 같다 이런 기대하시는 부분도 있으세요?
내용이나 아니면 기능들"
양*선	"이런 건 재밌는 것 같아요. 이 종목 살까봐 팔까 약간 투표 중이면은 그냥 실시간으로 확인도 했으면 좋겠어요.
그냥 다시 나갔다가 언제 생각 나서 이걸 다시 들어갈 것 같지는 않잖아요.
그래서 100명이라도 투표를 했으면 바로 그냥 실시간으로 볼 수 있게 그리고 이거는 그냥 주중뿐만 아니라 애널리스트들이나 인플루언서 그 사람들도 의견이 다 다를 거 아니에요 그들은 살지 말지 그런 것도 한 두세 명 정도 더 해서"
진행자	이걸 투표하고 나서 보여주는 모습들에 대해서 그렇게
양*선	이건 주주뿐만 아니라 애널리스트 10명이 살지 말지 고해야 될지 아니면 스톱해야 될지 의견들이 대충 그냥 직관적으로 왜인지는 써 있지 않아도 몇 명은 더 살래 말래 이런 거 의견들 있으면 재밌을 것 같아 참고하면 될 것 같아.
진행자	"그렇군요. 종이 한 장 넘겨볼까요? 한 장 넘겨보시면 이제 저희 종목 상세 화면 방금 본 거에 대해서 평가를 주시면 되겠습니다.
제가 잠시만요."
진행자	이거 할머니 같죠
진행자	"앞에 홈에서 좀 평가해 주셨던 거랑 이제 점수를 좀 비슷하게 주셨는데 처음에 이제 매매 동향을 찾다가 잘 보이지 않았다라는 평가를 주셨던 것도 기억이 나요?
혹시 그 내용 외에도 정보가 눈에 잘 안 들어온다라고 느끼신 부분이 더 있을까요?"
양*선	이거를 나중에 이 순서를 제가 마음대로 커스터마이즈 하면 더 좋을 것 같거든요.
진행자	순서요
양*선	"제가 보고 싶었던 거는 거래 거래량이잖아요. 이거를 더 위를 더 올리면 그래프가 밑으로 내려가게끔 마이너스 해가지고 이거를 하면 더 좋을 것 같아요.
그런 커스터마이즈 하는 기능이 있었으면 좋겠고 그런 디자인이 제가 할 수 있으면 더 매력적인"
진행자	그렇군요. 아까 뭐 이해되지 않는 내용이 있는지 좀 여쭤봤을 때 그렇지 않다 이렇게 말씀을 드렸는데 이제 5점을 주셨으니까 어떤 부분이 조금 부족하다고 느끼셨는지 그 부분도 의견 여쭤보고 싶습니다.
양*선	"아까 말씀드린 아까 말씀드렸는데 간편 주문이 좀 더 버튼이 크거나 여기 밑에 와 있으면 좋을 것 같고 온라인 쇼핑몰처럼 어차피 그 기능이 있다고 하면은 호가가 움직일 것 같고 지금은 멈춘 상태지만 그리고 이런 PBR이나 per 같은 설명이 딱 보면 모르잖아요.
그래서 물음표 해가지고 여기 들어가면은 좀 자세하게 나올 수 있는 설명이 있잖아요.
그런 자세한 주석 같은 게 있으면 되게 좋을 것 같아요.
클릭하면 그 나무 위큐 같은 거 보면 옆에 1 2 써 있으면 구울 수 있잖아요.
네 그런 느낌 그런 게 좀 친절한 설명이 있으면 좋겠다."
진행자	"그렇군요. 알겠습니다. 다음 화면으로 좀 넘어가 보겠습니다.
다음 메뉴이고요. 이제 마켓 메뉴인데요. 아까 탐색하면서 이제 보지 않았던 화면이라서 조금 더 시간을 가지고 여기저기 이제 확인하시고 싶은 것들을 눌러보시면서 그게 준비가 안 된 확률도 있지만 일부는 저희가 또 연결해 놓은 것들도 있거든요.
그래서 보시면서도 바로 생각이 드시는 게 있으면 말씀 주셔도 됩니다."
진행자	그 항목들을 좀 눌러보고 싶으세요?
양*선	청약 예전 대한조선 했어서 오늘 언제 지금 8월 1일인 걸로 제가 알고 청약 더 자세한 내용을 알고 싶다 물어볼 것 같아 관심 있는 거 얘기면은 조선족 괜찮잖아
진행자	네 그 정도일까요? 지금 알림 뭔가 추가하려고 하신 거 외에는 뭐 더 하고 싶은 건 없어
양*선	일단은 공무서 청약은 알림 알하고
진행자	네 혹시 관심이 좀 생기신 내용이 있으셨나요? 청약 말씀 주시긴 했는데 그 외에 또 있었는지 여쭤보고
양*선	"시장 지표는 아까 말씀드렸는데 여기는 커서 보기 좋은 것 같아요.
여기 개인이나 이런 거 자세하게 나와 있고 그래서 아시아 유럽 관심이 있다면 눌러볼 것 같아요.
그래서 대충 알고 싶다. 세세하게는 몰라도 대충 흐름 같은 건 알 수 있잖아요.
중국이 어느 정도인지 군 같은 것들 국제군도 있고 정보가 많아서 여기는 한눈에 보기 좋았고 그리고 주식도 ETF도 옆에 바로 있는데 여기 누르면은 다양한 정보가 있을 것 같아서 ETF도 어차피 관심이 있으니까 주식하는 사람은 보통 있잖아요.
그래서 눌러볼 것 같아요."
진행자	"전체 종목 한번 봐볼까요? 만약에 이제 더 랭킹을 보고 싶다 그러고 하면 어떻게 할 것 같아요?
전체 그 부분 누를 것 같아요. 저 여기 전체로 한번 볼 수 있는 걸 준비해 놓은 게 있는데 여기서도 이제 ETF 보고 싶다고 하셔가지고 보시면서 기대하시던 모습인지 그 부분 좀 여쭤보고 싶었습니다."
양*선	"타이머 이런 건 알고 있긴 한데 이거를 그럼 테마 전체로 해서 지금 관심 있는 건 반도체나 아니면 원자력 조선이잖아요.
그래서 이런 너무 이렇게 다 스프레드가 된 느낌이 있어서 테마로 가서 게 제가 보고 싶은 거 리스트업 해서 볼 것 같아요.
아니면은 관심이 있으니까 어차피 거래량이나 어떤 게 좀 많이 하고 있는지 이런 것도 관심 있게 볼 것 같아요.
왜냐하면 미래에셋은 또 ETF를 다시 들어가야 되고 막 되게 하나나 한 화면이 또 다르거든요.
이게 보기가 좀 편해서 한눈에 보기가 되게 좋아가지고 여기 이용을 정보를 얻을"
진행자	"테마 같은 경우에는 지금 반도체 좀 예상하고 이렇게 바꾼다고 하셨잖아요.
그 외에 뭔가 이제 유형 배수 이렇게 옆에 있는 필터들 각각이 좀 의미하는 내용들을 좀 이해할 수 있으신지 또 또 활용할 것 같으신지 그런 부분들 궁금하"
양*선	배수는 뭐죠? 배수 전체
진행자	뭔지 좀 바로는
양*선	"대충 알겠는데 테마랑 발수 전체는 잘 모르겠어요.
거래량 상위 이런 거 하라 상계할 수 있는 그러면 들어올 것 같고"
진행자	"그렇군요. 일단 저희가 주식 전체 보기 이제 들어왔다가 이런 화면도 준비돼 있는 게 있어서 보여드렸고요.
혹시 지금 주식 이제도 여기 나가기 전에 화면에서 테이블을 좀 구성하고 있는 항목들도 있잖아요.
이렇게 좀 적절하게 또 생각이 드시는지 예를 들면 종목이나 ATF 좀 판단하는 데 있어서 혹시 조금 더 이런 기능이나 내용이 좀 추가되길 기대하시는 부분이 있는지 여쭤보고 싶습니다."
양*선	이거는 가나다 순이 어떤 거예요? 어떻게 거래량 상위 그렇구나 되게 다양하게 되어 있어가지고 보고 싶은 대로 맛있는 거 챙기 배당 이긴 배당
진행자	배당 그 부분 눌렀을 때는 어떻게 보이길 기대하세요?
양*선	배당이 많이 주는 데가 어딘지
진행자	많이 주는
양*선	요즘 강원랜드 많이 해주잖아요. 그런 식으로 회사 대비 그리고 기업 대비 많이 주는 배당 앞으로도 배당 지금 3법 개정될 예정이니까 그런 거
진행자	"알겠습니다. 다시 이제 마켓 앱으로 돌아가 볼게요.
이제 이 주식 부분 좀 보시면서 내려가다가 제가 이제 ETF 보여드리려고 좀 넘어갔었고요.
또 이어서 평가해 주시면 좋을 것 같습니다."
양*선	이거는 관심이 없죠 시가총액 카폐 이런 거
진행자	관심이 별로 없다 이렇게 말씀을 주셨는데 관심이 안 생기는 이유에 대해서 좀 여쭤보겠습니다.
양*선	시가총액이 이게 많아서 제가 투자를 해야 되는지 안 해야 되는지 그런 판단의 정보가 저한테 이게 필요한 건가로 필요 없다라는 생각이 들고 이거는 요즘에 지금 올랐구나 이 정도 그냥 대충
진행자	한번 눌러서 들어가 볼까요? 이 부분을
양*선	이런 거는 미래에셋에도 항상 있는 거니까 새롭지 않은 것 같고 해서 이런 거 제가 지금 투자가 되어 있는 만약에 하이닉스를 안 팔았다면 갖고 있었을 때 이 그룹사에 있을 거고
진행자	네
양*선	그 정보지 그게 그렇게 뭐 그런 정보구나
진행자	"정보구나 정도 이렇게 생각이 드세요. 만약에 지금 업종이나 테마와 관련된 뭔가 탐색을 한다라고 했을 때 지금 보신 화면들 중에 이렇게 시가총액 순으로 나온 것도 있었고 또 테마 45 해서 이렇게 안에서 또 있는 내용도 보셨잖아요.
혹시 그러면 조금 더 내가 투자하는 데 이 정보가 좀 도움이 되려면 어떤 것들이 좀 더 개선이 필요할까요?
기대하시는 내용이 있다면 어떠신가요?"
양*선	"아까 말씀드린 그 시가 총액 이런 거는 별로 관심이 없는 것 같고요.
차라리 테마 업종 테마와 항상 뉴스에 나올 때 그 업종에 대해서 많이 나오잖아요.
원자력이나 원자력 항공주 그러면 그 항공사가 어디 있는지 개인이 찾아봐야 되는데 이런 거 항공사 이렇게 보면 쭉 나오니까 이런 거에 도움은 될 것 같아요.
정보 찾을 때"
진행자	항공사라는 부분을 이제 관심이 있어서 눌렀을 때 그 종목이 쫙 나오는 거 외에 그다음에 좀 더 하시는 건 어떤 건가요?
양*선	제가 몰랐던 항공사가 더 나와 있으면은 그거 클릭해서 그래프 같은 거 보고 그럴 정도 겠지
진행자	몰랐던 종목이 있으면 더 탐색을 해보시는 거
양*선	"저희는 알고 있는 건 대표 등록 위주잖아요. 근데 저가 항공이 더 있을 수도 있으니까 이런 게 더 있구나 이거 알겠습니다.
다시"
진행자	"이제 박현으로 이동을 하면요. 밑에 좀 몇 가지 정보가 더 있었죠.
공모주 청약에 대해서는 아까 좀 이야기를 했던 것 같고요.
매매 동향 좀 보셨을 때는 좀 머무르면서 보시는 모습이었는데 어떠세요?"
양*선	"그냥 지금 개인이 많이 사면은 앞으로 떨어지겠구나 그 외인이나 기관이 사면 오르겠구나 이런 판단하는 그런 건 되는 것 같고 그거 홍빈이 지금 사고 있는 거 기관 사고 있는 거 이런 건 주별로 보는 게 나은 것 같아요.
하루보다도 주나 월로 봐야 좀 더 참고 상황이 덜 돼서 이렇게 누르면 어차피 있으니까 3개월까지 내면 좋지"
진행자	"그 부분도 사실 안에 저희가 다음 화면까지 준비가 돼 있거든요.
이 매매 동향 화면도요. 네 이렇게 네 부분 매매 동향 기관 매매 회원 동향 한번 확인해 보시고요."
양*선	"연기금까지는 보는데 개인 외국인 기관 연기금까지는 보고 딴 건 잘 안 보고 외국인 선거 그니까 앞 회원 보지 거의 10까지는 잘 안 보잖아요.
25위까지는 5위까지 정도 프로그램도 많이 사고 있는 제일 많이 사는 게 좋은 거니까 그래야지 온라인이니까 할 수도 있고 참고 사항"
진행자	"안에 있는 이제 매매 동향 안에서 제공하고 있는 정보들 좀 보셨는데요.
투자하는 데 있어서 이 내용을 좀 활용 만약에 한다면 어떤 것들이 좀 더 지원이 되면 좋을까요?"
양*선	어차피 여기 외국인 매매해서 하나 엔진이 1이면은 여기 링크도 같이 연결이 되겠지
진행자	종목 상세로요
양*선	"바로 그냥 상세로 들어가게 하면은 또 찾아야 되니까 그냥 그냥 종목명 쳐야 되니까 궁금할 때 있잖아요.
보통 매수한 게 상이 있으면 궁금하니까 들어가게 될 텐데 바로 들어갔으면 좋겠고"
양*선	리스트가 있으면 들어가기만 하면 편할 것 같아요.
진행자	"네 아까 이제 업종에서도 내가 잘 몰랐던 만약에 이제 종목이 더 있으면 더 보겠다 하셨고 지금도 뭔가 외국인 매매나 기관 매매가 높으면 종목 상세로 이동하겠다고 하셨잖아요.
종목 상세로 이동하는 거 말고도 혹시 뭔가 더 여기서 해보고 싶은 게 있으신지 아니면 그 종목 상세에 갔을 때 어떤 내용을 좀 확인해야 하는지 좀 더 빠르게 확인해야 되는 내용이 있는지 그런 질문을 드려보고 싶습니다.
종목 상세를 좀 이동하겠다고 하셔가지고"
양*선	"근데 외국인 매매했을 때 1 2 3 4 5 순위가 있잖아요.
클릭을 한 이유는 외국인이 한 거를 좀 더 자세하게 보고 싶은 거니까 메인 화면보다도 외국인이 아까 있었잖아요.
1개월 1주 3개월 그 동향이 바로 그냥 그 링크로 들어가면 더 편하"
진행자	그 화면으로 좀
양*선	내 화면보다도 여기서 궁금한 게 매매를 얼마나 했는지가 궁금하니까 그 화면으로 바로 들어가죠.
진행자	"알겠습니다. 이용한 처음 들어간 진입 경로에 따라서 내용도 관련된 내용이 이제 보여지면 좋겠다 그렇게 이해를 하겠습니다.
아래쪽에도 이제 뭐 짧게 보셨는데요. 이제 자금 동향이나 투자 스타일로 종목 찾기 이런 내용들에 대해서도 의견 주시고 넘어가 보도록 하겠습니다."
양*선	글쎄 이런 거는
양*선	"되게 심심하거나 아니면 그럴 때는 클릭을 할 것 같은데 여기 어쨌든 추천해 주는 거잖아요.
오늘 들어가 볼까 잘 안 들어가게 될 것 같아요."
진행자	잘 안 들어가게 될 것 같아요.
양*선	이런 게 너무 많으니까 미래에셋도 항상 이런 종목 추천이라든가 이런 게 많으니까 그중에 하나일 것 같아서 아니라
진행자	"알겠습니다. 한 장 넘겨보시면요. 이제 마켓 메뉴에 대해서 평가하는 게 있습니다.
동일한 질문으로 구성이 되어 있고요. 저희가 지금 얘기 쭉 나눠봤는데 총체적으로 한번 평가해 주시고 넘어가겠습니다."
진행자	네 눈에 잘 들어온다는 6점을 주셨어요 뭔가 앞에서 좀 보셨던 내용보다 더 잘 들어온다라고 느끼신 부분이 있는 건가요?
양*선	시장 지표가 아까 컸으면 좋겠다라는데 딱 그게 제가 생각했던 만큼
진행자	네
양*선	화면에 나와 있어서 되게 보기 편했고 내용도 그냥 그 밑에 간략하게 필요한 정보만 딱딱딱 있어서 한눈에 비교해 볼 수 있어서 되게 좋았던 것 같아요.
진행자	"그러면 앞에 있는 앞에서 보셨던 시장 지표가 이런 형태로 좀 바뀌어야 된다 이렇게 생각을 하세요.
홈에서 보여지는 모습도"
