	P5. 김*현
김*현	"이렇게 해서 여기에 관심 종목이라는 관심 종목이 기본적으로 관심 종목 현재 보유 관심 종목이 될 수도 있고 관심 종목도 있고 예를 들면 보유 종목 보유 종목이 될 그건 약간 다를 수도 있으니까 이렇게 뜬다고 하면 그거는 이제 그게 좀 더 괜찮을 것 같습니다.
일단은 그래서 들어왔을 때 왜냐하면 이게 여기는 어떻게 보면 뉴스 지금 현재 보면 이게 이쪽은 뉴스 코너 뉴스도 하고 어떤 전체적인 상황에 대한 거고 이쪽은 저에 대한 건데 이쪽이 한쪽에 이게 같이 서 이 가운데 있든지 이렇게 될 것 같으면 시각적으로 이게 눈에 안 들어오는데 이렇게 한쪽에 차라리 이렇게 나와 관련된 관심 종목, 나의 보유 종목에 대해서 나온 경우 이런 경우에는 이 오히려 보유 종목은 어떻게 찾을 수 있을까요?
지금"
김*현	여기는 지금 여기 이 화면상 지금 현재 홈 화면상에서는 이게 지금 어떻게 찾아야 돼 이거 이렇게 이렇게 찾으면 방 갖고
진행자	찾아주셨는데 혹시 내가 보유한 종목 관심 종목들 우측에 있는 영역에서 좀 확인하시는 과정에 어려움이 있으셨을까요?
김*현	"이쪽이 보유 종목이 이게 전환하는 보유 종목 관심 종목이라서 전환하는 게 물론 지금 찾는 거야 가능하지만은 바로는 이게 처음 들어가면 이게 바로 처음에는 아까 제가 관심 종목부터 나왔지 않습니까?
그러니까 이거에서 옆에서 옆에서 선택하는 것도 가능한데 옆에 서서 이거 어차피 이 화살표를 끝에 표시 하나 누르면 밑에 보유 종목이라든지 몇 가지 해서 여기서 바로 전환할 수 있게 좀 더 좋지 않을까 싶습니다.
알겠습니다."
진행자	"이거 저희가 보유하고 있는 종목들 확인하는 거 한번 해봤고요.
보유하고 있는 이제 네이버 종목 아까 급등하고 있어서 한번 들어가 봤다 이렇게 말씀해 주셨잖아요.
실제로 저 네이버 종목을 추가 매수를 하거나 혹은 매도를 하거나 이런 매매를 하려는 상황이라고 가정을 하고 그 안에서 한번 시도를 해보겠습니다.
어떻게 하실지"
진행자	네 잠깐만요. 답이 안 돼 마이로 이동할 것 같으세요?
김*현	"일단 현재 상태로 보고 연결되는 경우는 지금 실제로는 현재 바로 이 주 증권사 다 이렇게 연결해서 다 연결해서 하시는 거기 시만 연결해서 할 수도 있는 거고 그래서 아니면 저 경우에 경우에는 미래 별도로 또 다시 또 미래 예를 들면 미래에셋이라든지 해서 해당 업종을 추가 매수한다든지 혹은 그렇게 할 수 여기서 연결 연결하는 사실 지금도 네이버 페이에서 페이 증권에서도 사실 바로 연결 신권으로 바로 들어가서 다시 매수하는 경우도 있는데 있으세요?
제 경우에는 없고 다른 사람도 있는데 저는 그건 약간 좀 왜 그런지 모르겠지만 약간 보안성 문제가 있어서 그런지 모르겠지만 바로 연결하지는 않고 저는 바로 미래에셋이라든지 어차피 이버 내가 어느 증권에 이게 연결이 돼 있는 미래에셋이 미래에셋에 특정 업종 예를 들면 네이버를 미래에셋에서 네이버를 사고 KB에 네이버를 사고 이렇게 하지는 않지 않습니까?"
김*현	대개 1개 증권사의 한 종목은 네이버라고 하면 1개 증권사에서 을 테니까 예를 들면 네이버 지금 같으면 미래에셋이라고 하면 미래에셋 다시 여기서 자기가 화면을 띄워서 하는 매수를 하든지 아니면 모바일로도 같이 보면서 매수한다
진행자	그렇군요. 알겠습니다. 일단 마이로 그러면 들어오신 이유에 대해서 좀 궁금합니다.
김*현	일단 전체적으로 일단 아까 전에 추가 매수를 하려고 하는 하려면 하는데 지금 전체적으로 일단 비중이라든지 내 투자한 걸 다시 한 번 보면서 일단 한번
진행자	"확인하기 위해서요. 알겠습니다. 그러면 여기 이제 네이버에 연결해서 할 수 있다라는 건 알지만 안 하겠다 이렇게 말씀 주셨잖아요.
그래도 안에서 한번 과정을 찾아본다면 어떨까요?"
김*현	연결해서 할 것 같으면 이제 지금 만약에 증권사 연결돼 있다고 이렇게 하고 이렇게 한다면 네이버
진행자	네이버로 한번 이동을 제가 해볼게요.
진행자	이게 화면이 다 연결돼 있는 게 아니라서 네이버에 이제 들어왔다고 가정을 하고
김*현	여기서 그럼 찾아볼까요?
김*현	그래서 간편 주문으로 저희 마지막에 이제 들어가는 거 간편 주문 미래에 이렇게 주문하기를 눌러서 이렇게 이렇게 돼 있다고 치고 이렇게 이렇게 들어갈 것 같습니다.
진행자	"그 끝에 뒤에 가정까지 한번 해볼까요? 어떤 화면들인지 바로 네 이런 과정들을 화면을 한번 그 과정 거치면서 보여드렸는데 네 어떤 거 같으세요?
일단 간편 주문을 찾아서 실제로 수행하는 과정 해보셨는데"
김*현	"지금 실제로 상황에서 일단 간편 주문해서 들어 들어가는 과정 자체가 이렇게 실제 이게 어 당연히 그런 건 어렵지 어려울 거라 좀 더 이렇게 뭐랄까 편리하다고 할까 그건 당연히 기본적인 사실이고 누나도 이게 사실 지금 처음에는 약간 헤맸지만 바로 이게 찾아서 연결된 증권사에서 간편 주문이 바로 이렇게 차를 타고 같이 바로 떠버리기 때문에 오히려 이건 눈에 들어온 것 바로 바로 어떻게 보면 즉각적인 반응이랄까요?
반응 이게 가능할 것 같습니다. 이것도 색깔 자체가 지금 현재 보면 여기서 요즘 이게 네이버 페이 증권이다 보니까 기본적으로 초록색이 네이버 테마 색깔이라지 않습니까?
그래서 지금 차트 화면 이 화면에서 지금 초록색인 거는 간편 주문이 초록색으로 딱 이렇게 보이기 때문에 이걸 지금 찾거나 이런 과정에서는 편리한 것 같습니다."
진행자	"근데 처음에 이제 좀 헤매긴 했는데 이렇게 표현해 주셨어요.
이제 찾는데 좀 헤맸다라고 생각하세요?"
김*현	"처음에는 이렇게 봤을 때는 일단 일단 이 전체 구조상에서 일단 이게 간편 주문이라든지 이런 게 이쪽에 이쪽에 있을지 어느 쪽에 있을지가 일단 안 보였거든요.
그래서 처음에는 이제 간편 주문이 이쪽 코너가 이쪽 좌측에 있다.
네이버 이쪽에 이쪽 영역에 있을 수도 있고 이런 간편 주문도 어느 쪽에 울었기 때문에 처음에는 약간 이제 간편 주문에 저 항목이 어디에 있는지 보느라고 했던 것 같습니다.
알겠습니다."
진행자	"그러면 이제 처음에는 왼쪽이나 이렇게 좀 탐색을 하시다가 위치를 찾았잖아요.
이 위치는 적절하다고 느껴"
김*현	"키는 적절하고 적절한 것 같습니다. 적절하고 약간 다 한다 하면 약간 간편적이 약간 미치는 적절하고 약간 조금 조금 더 약간 더 글자 크기를 좀 더 키운다고 할까요?
약간 좀 더 해주는 좀 더 들어오지 않을까 싶습니다.
그래서 지금 간편 주문 크기하고 밑에 있는 종목 테마의 종목 토론에 있는 거의 제목 글자 크기하고 큰 차이가 안 나기 때문에 그래서 간편 주문이라면 일단 이런 최소한 이 종목 코너에 있는 글자 크기나 이런 거보다는 좀 더 글자 크기가 좀 더 어차피 더 커야 이렇게 좀 더 들어오지 않을까 싶은"
진행자	"알겠습니다. 그전에는 이렇게 주문할 수 있다라는 걸 알지만 이제 하지 않으셨다 이렇게 말씀 주셨어요.
근데 이제 오늘 한번 보시고는 여기서 화면 보면서 할 수 있으면은 괜찮을 것 같은데 이렇게 표현해 주셨잖아요.
해볼 만하다 이렇게 생각하신 건지 생각이 좀 바뀌신 건지 궁금합니다."
김*현	"지금 보니까 이게 그전에는 뭐 당연히 하는 것 자체를 알고 있었는데 이게 막상 어떻게 보면 시도는 그렇게 안 했고 어차피 요즘 모바일로도 다 어차피 지금 바로 보실 수 있고 어차피 할 수 있기 때문에 안 했는데 지금 이거 좀 더 바로 이렇게 들어가서 보니까 지금 여기 들어가서 보니까 지금 저도 간편 주문 그동안 안 들어가 봤지만 지금 들어가서 보니까 어떻게 보면 간편 주문에 이게 눈에 좀 더 이렇게 이렇게 직관적으로 더 들어오고 바로바로 이렇게 할 수 있을 것 같아서 반응하기 할 수 있을 것 같아서 지금 이거 보면서 이건 간편 주문을 이렇게 해도 어떻게 보면 이제 편이 아니까 어떻게 보면 큰 문제가 없겠다.
그리고 크게 이제 올려 보니까 더 편리하겠다는 거 지금 화면 보면서 더 직관적으로 지금 느낀 것 같습니다."
진행자	"이 화면에서 이제 간편 주문 눌렀을 때 제가 어떤 화면들 보이는지 제가 한번 다시 보여드리고 있거든요.
혹시 그 과정에서 좀 이해되지 않는 내용은 없으셨는지 그런 부분들 화면 하나씩 넘기면서 한번"
김*현	설명해 주시면 좋을 것 같습니다.
김*현	"여기서 이렇게 가면 매수 매수하기 이렇게 했다 하면은 현재 이 화면상에서 별로 이해되지 않는 건 없던 것 같습니다.
왜냐하면 어차피 여기 네이버 페이가 증권 네이버 페이 증권에 하는 게 아니고 연결해서 해 주는 거기 때문에 연결하는 과정에서는 당연히 각종 동의라든지 이런 절차만 거쳐 그다음에 아까 10 이하면 크게 공통적이지만 지금 현재 102개 법원 그래서 미래에셋이든 KB든 기본적으로 주식 매매하는 한마디는 이 화면에서 벗어나지 않기 때문에 이 화면에 벗어나지 않기 때문에 이게 뭐 자체가 어색하거나 뭐 이제 불편하거나 하지는 않습니다.
알겠습니다."
진행자	"다음 화면으로 한번 넘어가 볼게요. 다음 과정은요 저희 아까 처음에 어떤 거 좀 해보시겠어요?
제가 여쭤봤을 때 이런 뜨는 검색 종목을 확인한다고 말씀 주시긴 했는데 뭔가 이 화면에서 화면이 아니라 이 지금 새로운 서비스에서 내가 새롭게 투자할 만한 종목을 하나 좀 찾아보고 싶다 라고 하면 어디로 좀 이동해서 어떤 정보들을 탐색할 것 같으신지 한번 보여주시면서 설명해 주시면 좋을 것 같습니다."
진행자	마켓으로 이름
김*현	"에서 보면서 지금 현재 전체적인 지금 주식이 결국 이게 주식의 전체 종목에서의 상승이라든지 일단 이런 것들이 나오는 거 나오는 거지 않습니까?
그래서 거기서 볼 것 같고요. 일단 전체적으로 한번 볼 것 같고 그다음에"
진행자	전체라는 건 이제 클릭하려고 시도하신 건가요? 이 부분을
김*현	"일단 아니요 그건 아니고 지금 전체를 한번 보고 밑에 뭐가 밑에 까지 밑에 뭐가 더 있는지 지금 판단을 하는데 일단 전체는 한번 볼 것 같고요.
보면서 그다음에 다시 또 이게 업종 일단 업종으로 다시 들어갈 것 같습니다.
그래서 업종으로 들어가서 여기서 업종에서 지금 전체 업종이 다 나오는 건 아니니까 업종에서 결국 이제 지금 관심이 있는 종목 아까 제가 조사 매들은 지금 여기 상태에서는 통신 서비스라고 들어가겠습니다.
만약에 무슨 생물공학 들어가면 생물공학이라는 쪽에 있고 이쪽 업종이 일단 들어가서 결국 이제 저는 또 완전히 또 새로운 업종으로는 잘 안 들어가기 때문에 만약에 생물공학 쪽에서 투자했다면 이쪽에 다시 들어올 것 같고 오면서 그래서 이제 업종에서 전체적인 전체적인 상승 이렇게 하락을 보면서 일단 어느 종목에서 투자할지를 일단 볼 것 같습니다."
김*현	이거고 여기 수면증 또 덜 들어가는 데 많이들 결국 아케서 만약에 지금 밑에 아까 전에 본 것 같은데 공모주라든지 이런 쪽에서 일단 혹시 이제 청약도 있지만 상장 대리라든지 청약 수요 예측이라든지 현재 되고 있는 것들 일단 그거 확인할 것 같습니다.
진행자	뭔가 좀 새로운 탐색을 하더라도 기존에 이제 원래 하시는 것들 보여주셨던 것처럼 업종 단위로 탐색하고 거기에 덧붙여서 이제 공모주 같은 거
김*현	현재 청약은 안 되더라도 오히려 지금 현재 어떻게 보면 심사 청구라든지 수요 예측 단계에 있는 거 그거 보면서 왜냐하면 그걸 보면은 당장은 안 하더라도 계획을 세워 주식도 결국 자금 운용이기 때문에 자금 계획이 있어야 되니까 이제 그걸 볼 것 같습니다.
진행자	"공부 일정 같은 것들을 보시겠다 이렇게 이해했습니다.
앞에 이제 종이를 하나 놔드렸는데요. 저희 다음부터 해볼 거는요.
지금 주어진 상황에 맞춰서 이용하는 건 다 해봤고요.
각 메뉴별로 내용을 조금 더 보면서 안에 있는 내용을 평가하고 이런 시간을 가져보려고 합니다.
그래서 날짜는 오늘 29일이고요. 날짜 그리고 성함 적어주시고"
진행자	"네 먼저 홈 화면에 대해서 저희가 평가를 해볼 텐데 평가하기 전에 아직 이제 아래에 있는 내용까지 또 보실 시간이 없었잖아요.
그래서 시간을 조금 드려보겠습니다. 어떤 내용들을 담고 있는지"
진행자	보시면서도 만약에 이제 드시는 생각이 있으면 바로바로 말씀 주시면 됩니다.
김*현	"지금 밑에도 바로 보니까 아까 전에 음란 하는데 글로벌 거래 대금 수 글로벌 종목 랭킹에서 거래 대금 수급 밑에는 글로벌 인기 업종 단위로 볼 수 있는 것도 이렇게 있었습니다.
그래서 이거는 아까전에 못 봤었거든요. 내리지 못해서 그런데 이것도 이렇게 보면 그러면 이 업종 단위로 이렇게 해서 지금 현재 왜 지금 이게 기준은 좀 더 제가 봐야겠지만 이 업종 단위로 이렇게 이 정리해 놓은 것도 이게 좀 괜찮은 것 같습니다."
김*현	그래서 이게 또 예를 들면 지금 업종 단위로 볼 수 있는 것도 지금 현재 눈에 딱 들어오게 왜냐하면 그냥 글자로 업종 단위로 사실 무슨 업종 업종 리스트 하는 것보다 이게 실제로 그림으로 화면으로 나오고 그다음에 그 또 거기다가 해당하는 업종의 대표적인 기업들의 로고를 같이 연결해 놨기 때문에 사실 이게 오히려 보니까 딱 이제 우리의 시선이 더 잘 가는 것 같은데 이게 그냥 보는 것보다는 이게 사실 여기다 그냥 예를 들면 전기차라고 하고 다가 상승 이것만 사실 해도 상관은 없을 거고 만약에 지만은 이 업종에 로고가 보이니까 이게 그냥 전기차로 보는 것보다는 일단 여기 현대차가 있구나 이게 이런 식으로 보이는 게 한국에 더 잘 들어오는 것 같습니다.
김*현	전체적으로 지금 현재 봐서는 일단 좀 더 밑에 나 지금 나와 딱 맞는 종목 이것도 뭐지 이게 이게 관심 있게 본다기보다 이렇게 나았다고만 조금 자산 규모와 투자자가 비슷한 매수한 주식 이런 것들은 또 일단 참고 참고사항 이렇게 일단 일단 볼 수는 있기 때문 보는 것 자체는 괜찮기 때문에 이것도 기존보다 확실히 이게 시각적으로 기존에 어떻게 보면 텍스트 중심으로 약간 화면이 구성됐다고 보면 이건 약간 좀 더 좀 더 시각적으로 그래 박스라든지 각종 이제 그래픽으로 많이 구사돼 있기 때문에 오히려 그리고 각종 기업의 로그라든지 잘 연결돼서 좀 더 이게 어떻게 보면 기존에 근처까지 텍스트 단위로 볼 때는 그렇구나 하고 받는 것들이 이제 좀 더 시각적으로 주의가 집중되면서 더 잘 볼 수 있는 것 같습니다.
진행자	"알겠습니다. 전반적으로 콘텐츠들 좀 눈에 띄는 것들 평가해 주셨는데요.
하나하나씩 질문을 좀 더 드려보고 싶어요. 이제 글로벌 인기 업종 테마 부분에 대해서 좀 긍정적으로 느껴지시는 부분들 말씀해 주셨잖아요.
아까 마켓 페이지에서 업종에 관련된 테마와 관련된 내용들 보셨던 거랑 비교했을 때는 어떠세요?
선호가 있다면"
김*현	"선호가 있다면 이쪽이 약간 더 좀 더 이렇게 거기서는 마켓이 테마가 좀 더 부변인데 오히려 이렇게 약간 여기 대표적인 업적이 나오는 게 지금 상태상 봤을 때는 다시 한 번 비교를 해보겠지만 저기 여기서 이렇게 종이 이렇게 이렇게 보는 거보다 이렇게 보는 것보다 사실 지금 이 홈 화면에서 좀 더 이게 일단 전체적인 업종의 보기에는 더 이렇게 이쪽에 이런 화면이 더 나은 것 같습니다.
왜냐하면 전체 네모 박스에다가 이렇게 비중 차지하는 것보다는 이게 현재 등락이라는 게 결국 이제 전체 비중이 중요한 게 아니고 등락이 저기 이런 게 중요하니까 나은 것 같습니다."
진행자	알겠습니다. 그러면 지금 관심이 생기신 정보로는 이렇게 인기 업종 테마 부분 좀 말씀 주신 것 같은데 이 네이버 페이 증권의 홈 화면은 어떤 상황에서 투자 중에 어떤 상황에서 좀 이용을 하게 될 것 같으세요?
김*현	"기본적으로 일단 먼저 전체적으로 이제 시장 당일 날 일단 시장 개시 전 시장 개시 시장 개시 전에 일단 전체 상황을 보기 위해서 할 것 같고 그다음에 중간중간에 어떤 이제 주식의 시장이 좀 더 많이 사이에 변동하고 있다는 거 이런 것들이 이 건 꼭 여기를 안 들어가도 이렇게 일반적인 속도라든지 이런 걸로 나오는 휴대폰으로 오지 않습니까?
그렇다고 하면 좀 더 이제 들어가서 이렇게 좀 더 보겠죠 그런 측면에"
진행자	알겠습니다. 그런 목적으로 사용하기 위해서 그러니까 시장 전에 오늘 동향이 어떤지 그리고 간간이 들어와서 공간 서고 같은 게 있는지 이렇게 확인하는 관점에서 봤을 때 홈 화면에서 더 기대하시는 부분이 있을까요?
김*현	여기서는
김*현	"결국 이게 이 시각 이게 현재 이 태가 아니라 제일 첫 번째에 있는 제목 타이틀을 점차 타이틀 밤사이 이게 만약에 결국 이게 시간 단위로 일단 변동 시간 계속 일 단위로 있지는 않을 거고 저희가 변동할 것 같은데 그게 예를 들어서 시간이 시간 단위 아니면 더 빠르면 더 빠르겠지만 그 시간 단위로 해서 결국 AI가 이 상태로 있으니까 사람이 하는 건 아니니까요.
그래서 이런 것들이 좀 더 계속 시간 단위로 업데이트가 된다든지 해서 일단 더 들어왔을 때 바로 일단 이것만 보고도 바로 있는 지급 상황이라든지 이런 것들을 봤으면 좋겠어 보시는 게 어떻습니까?
더 좋지"
진행자	네 지금 보이는 이 AI 요약 부분이
김*현	"계속 업데이트를 자주 업데이트가 되면 좋겠다. 전체적으로 업데이트가 되고 이게 결국은 이제 만약에 중간중간에 들어온다고 하면은 전체를 다 홈 화면에 다 그때 되면 시간이 또 많지 않으면 전체를 다 보지는 못할 겁니다.
그래서 아마 이쪽에서 AI 글로벌 테마 이 제목들이 업데이트가 되면 좋겠고 필요하다면 이게 꼭 이게 하나가 아니어도 전체 타이틀이 한 두 개나 많으면 우리가 눈에 안 들어오겠지만 두 개 나라든지 이렇게 해서 더 늘려도 되는 거야.
그러면서 이것만 봐도 이게 지금은 밑에 그러면 이 기사를 누르면 내용이 더 나오겠지만 그 내용을 안 보더라도 이 타이틀로 한 한 2개 3개만 봐도 지금 상황 돌아가는 상이 뭐구나 이걸 알 수 있어 됐어"
진행자	혹시 홈 화면 이제 탐색하시면서 이해가 되지 않는 내용은 없으셨을까요?
김*현	"지금 상태에서 크게 이해가 되지 않아 없는 거는 없었고요.
지금은"
김*현	현재 상태에서 아마 이래야 되지 않을까라고
진행자	"그때 추가로 이제 몇 가지 항목만 더 여쭤볼게요. 이제 상단에 있는 이제 지표 영역 이렇게 클릭하시면 위에 이제 네 탭별로 확인하실 수 있게 준비해놨거든요.
한번 넘기면서 봐주시고 이 지표 영역에 대해서 어떻게 생각하시는지 의견을 여쭤보고 싶습니다."
김*현	"지표에서 결국 다 필요한 기본적으로 대한민국의 지표라든지 이런 앞에 주요 지표는 기본적으로 이 상태 여기서 크게 저걸 할 것 같지는 않고 대한민국이나 미국은 있고 있어서 나쁠 건 없는데 아니 사실 유럽 지표라든지 이런 건 사실 지금 유럽 지표에 같은 경우라든지 이런 아시아 쪽 지표에서도 일부 지표들은 예를 들면 이게 당장 필요하지 않은 사람들도 있지 않습니까?
물론 그러니까 있어도 나쁠 건 없는데 한다고 하면 이것도 약간 처음에 결국 처음에 로그인해서 들어온다고 하면 약간 네이버 우리 처음에 네이버 요즘 보면 다 설정해서 어떤 것들만 나올 수 있게 하듯이 그런 것들만 나오게 한다든지 그렇게 할 수 있었어."
진행자	직접 설정을 좀
김*현	있어서 나쁠 건 없는데 있다면 좀 더 할 것 고 주요 지표에서도 지금 현재 주요 지표에서도 지금 에서도 주요 지표가 매일 들어갔다고 치지만 주요 지표라고 이걸 그냥 주요 지표라고 하면은 아마 코스닥 코스피 코스닥 나오고 미국 출신 SMP 나오고 하지만 여기서도 지금 현재 이 제가 필요로 하는 지표를 여기다 주요 지표에서 이런 끌어온다든지 당긴다든지 이런 금융시설 지표라든지 이런 것들을 제가 약간 표를 선정 제가 선정할 수 있었으면 좀 더 좋지 않을까 싶습니다.
진행자	이제 넘어가 보려고 하는데 앞에 있는 이제 평가지 봐주시고 각 항목에 대해서 동의하시는 만큼 점수 매겨주시면 되겠습니다.
진행자	"네 6점을 주신 항목들이 조금 있잖아요. 내용을 쉽게 이해할 수 있다에도 6점을 좀 주셨는데 혹시 어떤 점이 좀 부족하다라고 느껴지셨나요?
그러니까 더 잘 이해되려면 이런 부분이 보완이 되면 좋겠다라고 느끼시는 부분이 있다면 어떤 걸까요?"
김*현	"이제 여기서 기본적으로는 크게 한 보안이라기보다는 여기서 이제 이게 지금 속보란들이 이렇게 있는데 이 속보란들이 속보도 있고 옆에 밑에 작은 선정된 것들이 있지 않습니까?
그런데 이게 약간 선정된 것들이 지금 이 화면만 봐서는 이게 왜 이게 선정이 됐는지 이게 과연 이게 이만큼 어떻게 보면 오늘 전체 주식에서 이만큼 중요성이 있는 건가 약간 쉽고 이게 만약에 약간 그래서 이게 좀 더 이게 밑에 거 예를 들면 더 중요한 것들이 약간 선정돼 가지고 약간 이런 대신증권 30만 원 지원금 준다 이게 지금 사실 과연 제가 어떻게 보면 보려고 하는 내용들은 아니면 지금 전체 아니니까요.
그래서 이거 같으면 기존에 어떻게 보면 주 리스트로 계속 어떻게 보면 저희 연합 연합 인포 연합 경제 같이 계속 이런 기사들 올라가는 것 같이 어떤 그렇게 보이기 때문에 이런 것들은 약간 좀 이렇게 바뀌어야 되지 않을까 싶습니다."
진행자	어떤 기준으로 기사가 보여지는 거
김*현	예 그리고 중요한 것들이 진짜 있어야 될 것 같고 그래서 알겠습니다.
진행자	"네 다음으로 좀 페이지 넘겨보시겠습니다. 이제 종목 상세 페이지고요.
아까 이제 저희가 선택하면서 좀 봤었던 화면이긴 합니다.
조금 더 시간을 드려볼게요. 그리고 이 화면이랑 다른 메뉴들로 이제 저희가 구성된 이 화면들도 한번 봐주시고 보고 나서 좀 더 이야기해 보겠습니다."
진행자	"화면에 대한 의견이나 혹은 궁금증 같은 게 좀 생기시면 바로 좀 말씀해 주시면 좋겠습니다.
탐색하시는지"
김*현	"이게 지금 선정하는 그래프에서 선정 기간 단위로 선정하겠지만 지금 이렇게 보면 사실 이게 아마 지금 연간 단위로 거의 연간 단위로 지금 설정이 되어 있는 것 같습니다.
그런데 사실 저희가 이렇게 물론 이게 연간 단위로 차트를 이렇게 연간 단위로 보는 것도 의미가 있겠지만 이게 사실 저 투자자 입장에서 이만큼 연간 단위로 보는 게 아니고 한 면 앞뒤 한 일주일 단위라든지 아니면 어떻게 보면 오늘 시세라는 단위로 받아야 되는데 이걸 이렇게만 보면 보는 건 오히려 이게 준비된 화면이다 보니까 이 차트 조작이 준비되지 않았던 부분이 있습니다.
측면이 있고요. 그다음에 이 차트들이 대개 어떻게 보면 너무 이게 지금 현재도 세세하게 쪼개져 있는 측면이 워낙 구간 단위가 세세하게 쪼개져 있는 측면이 있는데 어떻게 보면 이게 전체적인 대세 대세만 사실 저희가 더 세세적인 것보다기보다는 전체적인 대세가 좀 더 눈에 들어올 수 있게 좀 구성해도 되지 않을까 차트에서 알겠습니다."
진행자	제가 그럼 질문을 그냥 하나씩 드려볼까요? 이 왼쪽 영역에서 혹시 가장 눈에 들어오는 정보는 어떤 게 들어오세요?
김*현	"지금 상태에서는 결국 이제 네이버 지금 지금 현재 가격이 저거하고 지금 현재 상 얼마 올랐나 얼마 그게 일단 눈에 들어오고요.
그다음에 시세 정보에서 지금 이게 지금 시세 정보 밑에 그 그림에서 사실은 이게 물론 설정을 할 수는 있겠지만 이거 52주 단위에서 지금 52주를 기준으로 어떻게 보면 52주 하는 게 1년 단위인데 1년 기준으로 해서 지금 현재 최고가 최저가 이거를 설정 보이게 하는 게 이게 과연 물론 이것도 중요 하겠지만 이만큼의 의미가 있을까 이게 이게 왜 52주라는 거는 어떻게 보면 정말 너무 긴 기간인데 그 기간 동안에 이렇게 시세 현재 가격이 얼마고 현재 어느 위치에 있다 이거를 이게 굳이 필요할까 약간 그런"
진행자	그럼 어떤 내용이 좀 더 중요할까요?
김*현	"이게 시세 정보가 있더라고 현재가 만약에 한다고 하면 52주는 넘어 하고 이것도 마찬가지로 앞에 차트 비슷하게 일단 기간 단위로 설정할 수 있으면 52주가 기간일 수도 있지만 향후 지난 2주 2주라든지 아니면 뭐냐하면 지금 7월이라고 하면 올해 7월 중 중 월중 최고가 최저가라든지 이 기간을 선택할 수 있었으면 하지 않을까 싶습니다.
네"
진행자	"이 가운데 영역이랑 우측 영역도 이제 차트 외에 다른 부분도 좀 꼼꼼히 봐주셨는데 혹시 드실 생각이 있으셨을까요?
만약에 아까 저희 초반에 이용하시는 과정 얘기하면서 섹터별로 정보를 보다가 종목에 대한 탐색을 하시기도 한다고 말씀을 주셨잖아요.
그래서 그런 상황이라고 가정했을 때 네"
김*현	넘어가서 지금 현재 뉴스나 이거는 지금 괜찮은 것 같고 종목 토론회에서 지금 현재 많이 본다고 하면 이건 시간 단위로 지금 최신 어떻게 보면 더 올라와 있는데 이게 지금 추천이라고 해서 약간 좀 더 인기 있는 이 종목들을 올리는 순서를 올리는 순서를 약간 당일 종목 베스트라든지 인기 있는 순서라든지 약간 추천 순서로 약간 올리는 것도 약간 선정할 수 있는 그런 것도 볼 수 있을
진행자	순서가 지금 최신인 것 같은데
김*현	이것도 그것도 역시 선택할 수 있게 했으면 하면 좋지 않을까 싶습니다.
진행자	네 다른 메뉴는 보셨어요?
김*현	이제 더
진행자	네 그 부분은 내용 정리가 안 되는데요.
김*현	그렇다고 하기는 그렇고 여기서 네이버 여기서 뉴스만도 이것도 결국 이제 지금 현재 보면 이건 저희가 일부러 선정할 수는 없겠지만 여기서 지금 좀 더 이렇게 이게 결국에 만약에 네이버가 좀 더 네이버 페이라든지 해서 AI가 좀 더 한다면 좀 더 중요성이 있는 투자와 관련된 좀 더 중요성이 있는 기타들 위주로 좀 더 앞으로 당기거나 할 수 있지 않을까 이런 중요도에 따라서 여러분 지금 현재 저희가 어떻게 보면 경영 상황하고 직접적으로 연결된 기사들이 더 앞으로 온다든지 여기 있는 2분기 실적 전망을 이룬 것 같이 이런 것들이 앞으로 오고 오게 하고 기업의 기업의 직접적인 경영 활동에 관련된 거 해 산업의 직접적인 활동에 관련된 것들이 또 앞으로 오게 하고 사회공헌이라든지 이런 것들을 좀 더 이렇게 내린다든지 해서 이거는 이거는 가능할지는 모르겠지만 이건 AI도 하나로 이 금 더 그렇게 하면 좀 더 그것도 좀 의미가 있지 않을까 싶습니다.
진행자	"알겠습니다. 일단 종목 상세에 대해서도 동일하게 평가 진행해 주시겠습니다.
저희 화면 보고 이야기 나눠봤고요."
진행자	각각 좀 고민을 많이 하시고 응답하시는 모습이었는데 눈에 좀 잘 들어오지 않는다라고 느끼시는 부분이 있으셨을까요?
김*현	"이게 지금 현재 전시 화면 구성상에서 일단 이게 보면 이런 차트라든지 그다음에 옆에 지금 현재 52도 시세 정보 라인이라든지 이런 것들이 가려 이게 있고 이게 딱 눈에 일단 자기들이 바로바로 들어오지는 않고 일단은 이게 몇 개월 어느 기준인지를 일단 봐야 되지 않습니까?
그래서 약간 그게 약간 좀 눈에 조금 조금 더 덜 들어왔던 측면이 좀 더 있는 것 같습니다.
그리고 약간은 결국 거의 같은 내용으로 콘텐츠 내용이 만족스럽다 구성이 콘텐츠 구성이 만족스럽다 에서도 약간 그거 같은 맥락에서 약간 좀 더 이렇게 차트에 대한 차트라지 옆에 시설 정보지 이런 것들이 약간 이렇게 좀 더 52주 단위로 설정된 거라든지 이런 것들이 약간 좀 더 아직은 이게 조금 더 약간"
진행자	"상세 같은 경우에는 기존 서비스에서도 이용을 하시던 그런 화면이잖아요.
그러면 기존 경험들을 좀 고려를 하셨을 때 여기서 어떤 부분이 좀 더 보완이 되길 기대를 하시나요?"
