	P3. 원*정
원*정	"근데 뭔가 이전에 비해서 확실히 그래프 종류가 되게 다양해진 게 눈에 많이 들어오고요.
그리고 그 그래프 종류가 다양해짐으로써 정보가 더 명확하게 들어오는 것도 있는 것 같아요.
이렇게 네모나게 말 그대로 포션을 일부씩 차지하는 이런 그래프는 이전에 네이버 페이 증권에서는 아예 못 봤던 형태의 그래프거든요.
네이버 페이 그래프 증권 그래프는 보통 이렇게 약간 뾰족뾰족한 형태 그런 식으로만 되어 있다 보니까 그거는 사실 추이를 보기에는 좋지만은 이게 어떤 파일을 얼마나 먹고 있는지를 보기에는 어렵잖아요.
적재 독서의 이런 이런 형태의 그래프를 잘 활용한 것 같다는 느낌이 들어요.
그리고 테마별로 이렇게 구분해 놓은 것들, 업종별로 구분해 놓은 것들 이런 것도 좋은 것 같아요."
진행자	"일단 저희 홈에서 반도체와 관련된 정보들 확인하는 거 이제 어떠셨는지 좀 질문드렸는데 마켓에 좀 들어오셔서 또 확인을 하셨어요?
어떤 거 하고 싶으셨어요? 마켓에서"
원*정	맞아
진행자	"질문을 괜찮습니다. 마켓에서 좀 더 보고 싶으셨던 게 있으셨던 것 같은데 들어오셔서는 이렇게 또 반응하셨잖아요.
어떤 생각들을 하셨던 건지"
원*정	"마켓 이전에는 사실 이렇게 탭이 명확하게 구분이 되어 있는 느낌이 딱히 아니었거든요.
그러니까 말 그대로 한 화면에 조그마하게 이런 내용이 있어서 거기서 더 보기를 누르면 그 라인으로 들어가는 느낌이었는데 지금 우리에 뭔가 대분류가 생긴 느낌이라서 이 대분류를 어떻게 구분했는지가 궁금해가지고 눌러봤던 거고요.
실제로 뭔가 이 대분류가 테마에 맞게 좀 잘 분류가 된 느낌이에요.
이 종목 토론 그러니까 맨 처음 화면에서 토론이 이만큼 있고 뉴스가 이만큼 있고 약간 코스피 코스닥 약간 추위가 이렇게 있고 이런 식이었는데 지금은 홈에 들어가면은 뉴스 내용이나 이렇게 정리돼 있고 그거에 대한 상세한 내용이 또 뉴스탭에 들어가면 있고 토론방은 아예 토론으로 다 빠져 있고 그리고 시장 동향은 또 이렇게 아예 또 정리가 되어 있고 그래서 오히려 더 가독성이 좋게는 많이 바뀐 것 같아요."
진행자	"네 저희가 이제 기존에 어떻게 쓰시는지 좀 여쭤봤다가 전체적으로 이제 메뉴 구조에 대해서 평가를 해 주셔서 바로 이 얘기를 좀 나눠볼게요.
일단 메뉴 구조가 조금 더 가동성이 좋고 긍정적으로 느껴지는 부분이 있다고 말씀 주셨잖아요.
혹시 지금까지 본 거 기준으로 했을 때 생각을 해보시면 이런 부분은 그래도 좀 아쉽다라고 느껴지는 부분도 있으세요?"
원*정	제가 질문을 자꾸 대
진행자	괜찮습니다. 질문을 좀 다시 드려보자면 이제 홈에서 원래 쓰시는 대로 이제 예를 들면 이런 서비스들이 나중에 바뀌면 동일하게 이용을 하셔야 되는데 그 이용하시는 데 있어서는 괜찮으신지 아쉬운 점은 없는지
원*정	"제가 만약에 이 UI를 만든 사람이면은 저는 방금 이게 예를 들어 우리가 내리다 보면은 이 탭들이 나와가지고 내가 지금 어느 탭에 위치해 있는지 알 수 있게 뭔가 이렇게 강조 볼드가 들어갔다가 이 다음으로 내려가면 이쪽에 볼드가 내려가고 이런 식으로 바뀌는 게 있잖아요.
저는 그거랑 좀 연관된 건가 해서 왼쪽을 봤는데 만약 그렇게 되어 있으면 내가 지금 어느 탭에 와 있고 바로 다시 위로 올라가고 싶은데 이걸 딱 누르면 되니까 그건 좀 편할 것 같아"
진행자	그럼 스크롤 내리시면서 그런 게 좀 필요하다고 느끼세요?
원*정	이거 정도는 있어야 될 것 같은데 맨 뒤로 가는
진행자	네 올라가는 게 있던지 아니면 왼쪽에 이제 구분이 좀 되어 있으면 좋을 것 같다 이렇게 답변 주셨습니다.
원*정	이거 이거 아마 까만 모드도 되는 거겠죠? 까만 모드 되면 좋을 것 네 아마 되는 기능인 것 같은데
진행자	"네 이제 까맣게 되는 모드는 평상시에 필요하세요?
왜 필요하세요? 어떤 상황에서"
원*정	"저는 인터넷을 사용할 때 그냥 확장 프로그램로 항상 까맣게 해놓고 보는 편이에요.
저는 눈이 필요하다 느껴져 너만 밝으면"
진행자	"다시 이제 홈으로 돌아가서요. 저희가 기존에 하던 과정들을 조금 더 이어서 해보겠습니다.
기존 목적에 맞게 이용했을 때 어떻게 쓰시겠어요?
이렇게 좀 여쭤봤고 좀 마이 확인하고 또 마켓 확인하는 모습을 경험해 봤고요.
그래서 로그인하고 이제 내가 보유 중인 종목에 대해서 만약에 추가로 매수를 하거나 혹은 매도를 하거나 이런 판단을 하고 실제로도 매수까지 해보려는 상황이라고 한번 가정을 해볼게요.
그래서 보유 종목에 대해서 하나를 좀 지정을 해서 네이버로 좀 가정을 해볼까요?
네이버에 대해서 만약에 여기서 추가 매수 매도 판단을 한다면 어떤 것들을 정보를 확인하실 건지 그리고 실제로 매매를 한다면 어떻게 하실지 설명해 주시면서 보여주시면 좋을 것 같습니다.
차트는 이제 눌러보셨는데 그 부분부터 얘기해 볼까요?"
원*정	"이게 얼마나 당겨질지를 모르겠는데요. 이게 여기가 갖다 내고 뭔가 이렇게 스크롤을 내리거나 올리거나 한다면은 줌 되고 아웃 되고 이런 기능이 되지 않을까 싶기는 해요.
아마도 그렇게 된다면은 저는 책 보면서 볼 것 같아요.
지금 어떤 시기인가 하고 잘 알진 못하지만"
진행자	차트를 좀 보시면 돼요. 네네.
원*정	그리고 뉴스 쪽 가가지고 볼 것 같은데 뉴스가 이쪽으로 빠져
진행자	"네 아까 전에 기존 서비스 이용하시는 거 보여주실 때도 사실 뉴스를 보신다고 좀 말씀 주시긴 했어요.
그럼 기존에 좀 이용하시는 경험이랑 비교했을 때 지금 이렇게 뉴스 찾아가시는 것들은 어떠세요?"
원*정	"뉴스가 조금 안쪽에 있는 느낌인 것 같기는 해요. 근데 원래는 뉴스가 사실 네이버 페이 증권 UI에서 제일 눈에 바로 들어오는 위치에 있었거든요.
제가 느끼기에는 이쪽에 코스피 코스닥 수치 이렇게 있고 그 왼쪽에 그리고 이제 뉴스가 이렇게 딱 있었던 것 같은데 지금은 뭔가 오른쪽 아래로 살짝 좌천 당하는 느낌 그리고 오히려 이렇게 작게 해놓다 보니까 지금 제목이 아예 다 안 나오잖아요.
제목이 다 끊겨가지고 정확히 뭘 얘기하려고 하는지 전혀 모르겠어요.
그래서 이거는 조금 아쉬운 것 같은데 더 보기 누르면 더 커지려나 아예 이렇게 뉴스 쪽으로 빠지게 될 것 같은데"
진행자	네 잠깐 알려드릴까요? 여기 보유 종목 네 감사합니다.
진행자	네 아까 매매 동향에 대해서도 이제 가끔 또 보기도 하는 모습 말씀해 주셨던 것 같은데 이제 뉴스나 매매 동향 확인하시고 실제로 그러면 매매를 한다라고 하면 어떻게 하실 것 같으세요?
원*정	어떤 걸 말해야 되는지 모르겠어요. 매매를 한다고 한다면은 여기서 제가 어떤 식으로 뭘 선택해서 누를 것 같아?
진행자	네네네. 그럴 수 있어
원*정	간편지 하는 데
진행자	제가 한번 과정을 끝까지 한번 해볼까요? 지금 화면 나오는 거 보시면서
진행자	"이렇게 하면은 괜찮아 과정을 한번 보여드렸습니다.
한번 경험을 한번 해보셨는데요. 일단 어떠셨는지 좀 여쭤보고 싶어 간편 매매"
원*정	"뭔가 컴퓨터 약간 컴퓨터 안에 휴대폰을 싹 넣어놓은 느낌이에요.
이 밑에 있는 이 대청 화면은 누가 봐도 컴퓨터에만 쓰일 것 같은 UI인데 이 앞에 이렇게 조그만 팝업으로 나오는 거는 휴대폰을 이렇게 살짝살짝 갖다 넣어놓은 느낌.
그래서 휴대폰으로 애초에 주식을 접하고 주식을 주로 하고 있는 저희 입장에서는 이게 훨씬 익숙한 느낌이라서 예전에 컴퓨터로 주식하는 모습들 보면 딱 이런 화면에다가 여러 개 띄워놓고 보고 그러잖아요.
이거는 제가 늘 보는 화면에 좀 익숙해가지고 좀 더 친밀하게 느껴지는 것 같아요.
그리고 약간 컴퓨터로는 사실 이걸 어떻게 금액을 조정하고 그런지 모르겠는데 이 UI 자체가 아예 똑같이 돼 있거든요.
제가 지금 가지고 있는 증권 계좌에서 얼마까지 가능한지부터 여기서 지정가 시장가 여기서 500원씩 빼고 넣고 하는 것들, 몇 주 사겠다 이런 것들 다 똑같아가지고 되게 익숙한 느낌 그리고 다만 이 비밀번호 이거 뭐 하는 것도 있어요?"
진행자	"네 저희가 이제 지금 한번 해본 거는요. 보유하고 계신 이제 네이버 종목에 대해서 추가로 뭔가 매수 매도를 하는 그런 상황들을 해봤어요.
그래서 종목 상세에 들어오셔서는 뉴스나 매매 동향 같은 추가적으로 정보 확인하시는 모습 좀 보여주셨고요.
그리고 실제로 간편 주문 버튼 눌러서 그 과정 한번 쭉 경험해 보셨는데요.
혹시 수행 과정에서 어렵게 느껴지시거나 좀 이 부분은 불편한 것 같다 이렇게 느껴지신 부분이 있었나요?
꺼도 되나? 네"
진행자	네 여기 밑에 내려와 있어가지고 잠시만요. 여기
원*정	이 밑에 있는 상태에서는 저걸 눌렀을 때 안 나오는 건가요?
진행자	다 연결이 안 되어 있어서 그런 거고요. 잠시만
진행자	이 화면 보면서 좀 얘기해 볼까요?
원*정	목표주가 써 있는 거
진행자	재미있는 것 같아요. 왜 재미있게 느껴졌어요?
원*정	"이렇게 이거는 사실 다른 증권업플에서 이 항목은 못 본 것 같아요.
그냥 목표 주가가 얼마를 설정했다 이런 식으로 기사 글에 있는 걸 봤는데 그거를 아예 발췌해서 이렇게 아예 탭으로 넣어놓은 건 처음 보는 것 같아요.
그래서 막 기사에 보면은 어느 어디에서 목표 주가를 파양했다 상향했다 이런 식으로 기사들이 나오는 걸 봤는데 근데 이 컨센서스 이런 거는 밑에 다른 증권사 어플에서 봤던 것 같아서 증권사 리포트에도 많이 나오는데"
진행자	"네 그래서 이제 저희가 종목에 대한 판단을 하는 과정을 좀 여쭤봤어요.
이게 매매 판단을 하는데 이 종목 상세 페이지 안에서 이제 정보 찾는 데 좀 어려움이 없으셨는지 여쭤봤어요."
원*정	"저는 사실 좀 단순하게 하는 편이라 가지고 저는 솔직히 진짜 뉴스랑 입과 포이랑 입장 그래프만 보고 하거든요.
근데 뭔가 제가 느끼기에 사는 사람 많다 싶으면 갖다 팔고 빨리 파는 사람 많다 싶으면 그냥 저도 사고 막 그러거든요.
제가 하고 싶은 마음이랑 사는 사람들 마음이랑 반대로 가야겠다는 생각이 드는데 여기 지금 이 카터가 이렇게 크게 나와 있는 점은 좀 UI가 직관적이라서 제가 거래를 결정하는 데 있어서는 좀 도움이 될 것 같고 다만 이렇게 아까 제가 편리하다고 느꼈던 게 마이 탭에서 제가 원하는 종목들을 모아놓고 그 옆에다가 뉴스까지 띄워놓고 동시에 볼 수 있는 점이 좋다 생각을 했는데 이쪽에는 오히려 뉴스가 좀 작아가지고 그거는 불편할 것 같아요.
다만 여기서 아예 이게 구분이 된 형태라서 이 뉴스를 눌렀을 때 이 오른쪽 화면에 전체가 뉴스가 계속 나올 수 있게 된다면은 이렇게 비교 분석 보는 데는 편리할 것 같아요.
그게 구현이 어떻게 될지 모르겠지만"
진행자	"알겠습니다. 이 간편 매매에 대해서 마지막 질문인데요.
간편 매매 버튼을 좀 찾고 또 실제로 간편 매매 그 과정들 해 나가고 또 그 모바일 UI에서 매수를 하는 것까지 그 부분에 대해서는 좀 의견이 있으실까요?"
진행자	쉽게 할 수 있다고 느끼시는지 그렇게 질문드려보겠습니다.
원*정	네 쉽게 할 수 있는 것 같아요. 되게 쉬운 게 맞나? 제가 여기에 연동이 아예 다 되어 있다고 가정을 하면은
원*정	그냥 마켓에서만 띄워지는 어떤 게요? 제가 방금 눌렀던 이 간편 주문 탭이 아예 저희가 크롬 창을 이렇게 여러 개 띄워놓고 맨 위에 띄워놓고 다른 크롬창을 움직여도 걔는 여전히 그대로 있듯이 네 있을 줄 알았는데 얘가 여기 가 없어져서 그냥 기능이 그렇게 된 건가
진행자	다른 곳으로 이동해도 그 주문창이 계속 열려 있으면 좋겠다.
원*정	네 그래서 개별로 그냥 애는 떠 있었으면 좋겠는데 여기가 없어서 아
진행자	"그럼 만약에 이제 뉴스 리서치나 다른 탭으로 간다면 저 주문창에 나와 있는 종목은 어떤 기준으로 보이게 될까요?
어떤 종목이 보일까요?"
원*정	제가 네이버라는 종목을 만약 지금 보고 있다고 하면은 네이버를 이렇게 띄워놓고 뉴스 같은 데 가서 네이버 지금 어떤 어떤 내용이 있나 이런 거 보고
진행자	"지금 띄워놓은 상태에서 또 추가적인 탐색을 하실 것 같다 말씀이시군요.
알겠습니다. 저희 이제 개별 화면에 대한 평가는 또 이따가 이제 마켓 화면이나 중공 상태 화면에 대해서 할 거라서요.
하나만 더 해보고 넘어가려고 하는데요. 만약에 이제 내가 새로운 투자 종목을 발굴하거나 투자하는 데 있어서 유용한 정보를 좀 찾아보고 싶다라는 목적이라면 어떻게 할 것 같으신지 한번 시도해 보면 어디로 이동해서 정보를 습득할 것 같으세요?"
원*정	제가 새로운 정보를 습득할 거라면요. 원래대로였으면 당연히 뉴스 탭을 봤을 것 같은데
진행자	원래대로는 그렇게 하실 것 같은데 지금 안 하시는
원*정	"뭔가 이게 빈건 숏텐치 이런 게 좀 궁금해서요. 이거 뭘까 좀 새로운 내용인 것 같아서 이거는 못 봤던 것 같거든요.
그래서 이게 뭘까"
진행자	콘텐츠는 어떤 내용으로 좀 유추가 되세요? 보셨을 때는
원*정	"지금 보면은 제가 이 예를 들어 현대자동차 주가 반등 기대감을 누르면은 이 위에 삼성전자 이렇게 이렇게 약간 음향 처리해가지고 작은 짧게 나온 한 마디가 있잖아요.
이게 나와 있을 것 같아 그래서 뭔가 한 줄로 한 줄로 이렇게 정보를 습득할 수 있게 정리해 놓은 그런 탭이 아닐까 싶어요."
진행자	"만약에 기대하신 대로 보여지는 그런 모습이라면 어떠세요?
관심이 좀 가는 그런 정보인가요?"
원*정	"지금 읽어보니까 이거 좀 잘려서 나온 것 같아요. 내용 자체가 그래서 뭔가 제가 기대한 기능은 아니었던 것 같아요.
그래서 그러니까 클라우드 버전에서 끝나는 게 아니라 클라우드 버전 이걸로 어쩌고저쩌고 수주하기로 했다든가 기술 제휴를 하기로 했다든가 이런 내용이 더 붙어야지 그 문장의 완성이잖아요.
근데 지금 잘린 거 보니까 여기가 말 그대로 맛보기고 더 누르면 한 번 더 그 창이 나올 것 같아요."
진행자	그러면 지금 기대하셨던 거는 그렇게 다음 과정까지 이제 이어지는 게 아니라 여기 안에서 모든 정보를 다 획득하는 그런 상황이어야 된다는
원*정	네 그게 쇼텐츠라는 이름에 더 잘 맞을 것 같은데 다른 콘텐츠보다 짧게 뭔가 한 줄로 정리해 놨다는 거에서 약간 정체성 있는 탭이니까 그럼 위에 있는 이 뉴스랑 크게 다를 게 없는 거잖아요.
진행자	"네네 그래서 홈 화면에서 제가 이제 처음 말씀드렸던 게 어떤 새로운 정보나 새로운 종목을 발굴한다라고 했을 때 뉴스 리서치 보시겠다고 하셨잖아요.
보셨을 때 그러면 좀 관심이 갈 만한 내용을 찾을 수 있을지 그 부분 여쭤보도록 하겠다."
원*정	"이거는 그냥 다른 신문사 사이트랑 좀 비슷한 느낌.
근데 이거 좀 많이 본 뉴스가 좀 많이 커졌다. 제가 원하는 정보를 찾기에는 제가 만약 지금 반도체 관련주의 정보를 접하기 위해서 여기에 들어왔다고 가정을 했을 때 그 정보만 찾기에는 어려울 것 같아요.
뭔가 검색해서 따로 찾을 것 같아요."
진행자	검색을 한다면 어떤 검색일까요?
원*정	"일단 저는 그 주식명 바로 입력해가지고 그냥 제목에 그렇게 떠 있는 것만 볼 것 같아요.
최신서로 돌린 다음에"
진행자	"그렇군요. 지금 이제 많이 본 뉴스까지만 이렇게 좀 보셨던 것 같은데 시간을 조금 더 드릴게요.
이제 안에 있는 내용까지 다"
진행자	네 잠깐만 제가 조정을 해서 이 리서치 탭도 한번 보시고 혹시 관심이 가는 내용이 있으신지 여쭤보고 싶습니다.
원*정	엄청 좋았죠
진행자	나 엄청 좋아하
원*정	좋다는 얘기만 해도 되나
진행자	네 이거 솔직하게 말씀해 주시면 돼.
원*정	"바로 이렇게 링크 달아놓은 거 편한 것 같고 그리고 이 리서치 같은 것도 바로 섹터를 이렇게 딱 구분을 해놨잖아요.
그래서 찾기 편하게 바뀐 것 같아요. 이전에는 이렇게 세탁이라고 되어 있지 않았던 것 같아"
진행자	"일단 지금 화면 여기까지 보신 상태로 하나의 질문을 좀 드려보고 싶은데요.
저희가 처음에 제가 좀 질문드렸던 게 네이버 페이 증권 안에서 뭔가 새로운 정보를 탐색하고 새로운 종목을 내가 찾고자 했을 때 어떻게 하실 것 같으신지 그걸 좀 여쭤봤었고요.
다시 되짚어보자면 이제 홈 화면에서 쇼텐츠 부분 조금 관심이 생기셨던 부분이 있었고요.
그리고 뉴스 리서치에서 뉴스 보시면서는 다른 네 이제 신문사 서비스랑 이제 비슷한 것 같다는 말씀 주셨고 리서치 보면서는 또 이렇게 섹터로 나누어져 있는 정보에 대해서 좀 긍정적이다 이렇게 평가를 해 주셨어요.
총체적으로 했을 때 이제 새롭게 바뀐 네이버 페이 증권 서비스 안에서 뭔가 정보를 탐색하는 과정 어떠셨는지 의견 여쭤보고 싶고요.
또 어떻게 됐으면 좋겠는지 이런 기대는 기대하시는 의견까지 해서 평가했으면 좋겠어요."
원*정	죄송해요. 뭐라고 어떻게 말을 해야 될
진행자	"그러면 지금 리서치 탭에서는 좋다고 말씀해 주셨잖아요.
네 질문을 주시면 제가 잘"
진행자	"네네 괜찮습니다. 리서치 메뉴에서 그럼 혹시 더 기대하시는 부분도 있으세요?
이런 내용도 있으면 좋을 것 같다."
진행자	리서치 메뉴가 아니어도 됩니다.
진행자	"알겠습니다. 그러면 지금 그 앞에 있는 종이에 날짜랑 이름 한번 적어봐 주시겠어요 저희가 이제 주어진 상황에 따라서 이용하는 거를 한번 해봤는데 그 과정을 이제 다 마쳤고요.
이제 메뉴별로 원래 다 짧게 확인을 하면서 질문들을 좀 드리려고 했어요.
오늘 이제 28일입니다. 원래 홈부터 진행을 하려고 했는데 저희가 지금 뉴스 리서치를 보고 있었잖아요.
그래서 이제 쭉 넘겨보시면 왼쪽 위에 이제 뉴스 리서치라고 써 있는 정의가 됐습니다.
이 부분에서 각 문항에 대해서 어떻게 생각하시는지 평가를 해보면서 저희한테 의견을 주시면 어떨까요?
하나 안 하나"
원*정	"그냥 가장 간편한 가장 쉬운 조합 문항 같은 걸 제일 먼저 하자면 디자인이 매력적이냐고 물어본다면은 디자인은 확실히 UI적으로 좀 세련됐다고 생각을 해요.
이전에 비교군이 있으니까 더욱더 좀 더 깔끔해졌다고 느끼는 것 같기도 한데 이전에는 말 그대로 그 화면 자체를 더 잘 활용을 못하는 느낌이고 글씨가 되게 작다고 느꼈었거든요.
늘 글씨가 전체적으로 커지고 화면을 이용하는 비율이 훨씬 더 높아진 것 같아서 그런 면에서 디자인을 훨씬 더 매력적으로 느꼈다고 생각을 하고요.
그거 이용하기 또 이용하기 편리한 구성도 마찬가지로 이전에"
진행자	지금 보고 계신 화면에 대해서
원*정	"이용하기 편리한 이것도 마찬가지로 이전에는 이렇게 탭이 이렇게 구분되어 있기는 하지만은 전체적으로 뭔가 중구난방의 느낌이 했거든요.
그러니까 뭔가 강조가 되어 있는 부분이 없고 전체적으로 동일한 강조점을 가지고 있었다고 할까요?
근데 이번에는 약간 형식을 세로로도 주고 가로로도 주고 이렇게 하니까 좀 더 오히려 편리하게 정보를 습득할 수 있는 것 같아요.
그리고 많이 본 뉴스 이런 식으로 순위 매겨놓은 것도 동시에 뭔가 옆에다 관련된 사진이나 아니면 정보 같은 것들을 한 줄로 이렇게 정리해 놓으니까 좀 더 정보가 습득하기 좋았던 것 같아"
원*정	"그리고 이전에는 뭔가 예를 들어 이런 뉴스 리포트 같은 것도 전체적으로 그냥 뉴스만 이렇게 뚱뚱뚱뚱 있었다면 지금 이 뉴스만 해도 이걸 다 이렇게 구분을 해놨잖아요.
환율에 대한 뉴스만 이렇게 모아놓고 해외 증시만 모아놓고 시황 전망 이런 식으로 나누는 것들도 오히려 이게 콘텐츠 내용 구성이 좋다라고 생각이 드는 것 같아요."
진행자	"이제 여기 리서치도 아까 보시긴 했지만 이 내용도 같이 좀 포함이 되어서 평가가 되면 좋을 것 같고요.
두 가지 질문이 이제 남았네요. 정보가 눈에 잘 들어오는지 쉽게 이해할 수 있는지 질문이 나왔습니다."
원*정	"일단 이 뭔가 탭을 요즘 많이 보는 그 말 그대로 순위로 하나 매겨놓고 그리고 이거를 이슈나 종목별로 한번 나눠놓고 그리고 뭔가 집중 뭔가 테마를 나눠가지고 골라놓은 종목들이나 아니면은 산업들 그리고 산업이 섹터별로 해놓거나 아니면 최신 붓 종류 이렇게 다 구분을 해놨잖아요.
이런 것들이 뭔가 내가 만약에 이 동양을 알고 싶으면 동양 쪽으로 갈 것 같고 최신 정보를 알고 싶으면 최신 정보를 알 것 같고 이런 식으로 정보 습득에 좋을 것 같아서 내용을 쉽게 이해하는 데 도움이 좀 되지 않을 좋은 말 하는지"
진행자	편하게 편하게 참여하셔도 됩니다.
원*정	"정보는 확실히 이전에 비해서 너무 잘 눈에 들어오는 것 같아서 그냥 계속 똑같은 얘기를 하는 것 같지만 그냥 UI 자체가 너무 획기적으로 바뀌다 보니까 그 바뀐 UI가 주는 힘이 정보를 전달하는 능력에 있어서 가장 잘 작용을 하는 것 같아요.
내용적인 질이 좋아졌다 이런 거는 당연히 그 내용들이 가지고 있는 건 똑같잖아요.
네 근데 그거를 어떻게 눈에 띄게 하느냐가 그 UI의 역할인 거라면은 이 UI가 바뀌으로써 그 정보가 눈에 잘 들어오는 역할은 훨씬 더 좋아졌다.
이건 내가"
진행자	"알겠습니다. 아까 저희 이제 다음 메뉴로 다음 메뉴로 넘어가 볼 텐데요.
뒷장에 보시면 이제 마이 메뉴가 있을 거예요. 그래서 저희 탐색하면서 마이도 아까 한번 좀 길게 봤었잖아요.
그래서 간단하게만 한번 또 보시고 점수를 그냥 한 번에 다 매겨주세요.
매겨주시고 선체적으로 질문을 좀 추가로 드리는 걸로 하겠습니다."
진행자	"사실 하나하나의 점수를 주는 게 엄청 또 중요하다기보다는요.
그런 관점들을 좀 생각해 주시면서 화면을 한번 봐주시기를 좀 바라는 마음에서 이렇게 준비를 한 거였고요.
그래서 다섯 가지 이제 질문들 체크하시면서 이 화면에 대해서 좀 생각하신 부분이 있을 텐데 특별히 이제 세 번째 문항 편리한 구성이나 이제 콘텐츠에 대해서는 6점 주셨잖아요.
그래서 어떤 부분이 조금 그러면 상대적으로 부족하다고 느끼신 분 그런 생각하신 부분이 있으면 말씀해 주시면 좋을 것 같아요."
진행자	어떤 고민을 하고 계셨어요?
원*정	왜 내가 6점을 줬을까
진행자	왜 6점을 줬는데
원*정	다른 건 7점인데 왜 6점을 줬을까?
진행자	네 일단 문항 보실 때마다 떠오르시는 대로 아마 생각하셨을 텐데 그러면 저희가 그 점수에 대한 건 좀 잊어버리고 어떻게 좀 바뀌었을 때 내가 더 편리하게 쓸 수 있을까 이렇게 생각해 보셔도 되고 기존에 쓰시는 서비스들을 좀 떠올려보셔도 돼요.
원*정	카카오페이랑 조금 비교를 해봤을 때 카카오페이는 뭔가 글자 이렇게 옆에 조그마하게 이렇게 그려져 있거든요.
진행자	커트가 아예
원*정	"네 차트가 조금 그려져 있는데 그걸 넣어 좀 중구난방이 보이려나 근데 오히려 옆에 이렇게 글씨를 이렇게 보는 것보다 오히려 직관적으로 들어올 수 있을 것 같은데요.
그런 생각도 좀 잠깐 들었던 것 같고"
진행자	각각의 종목에 대해서 차트가 좀 필요할
원*정	"옆에 이렇게 조그마하게 들어가 있는데 그게 한눈에 이렇게 멀리 이렇게 굳이 거기에 들어가지 않더라도 오늘 어떤 등락이 이런 식으로 있었구나를 알 수 있었던 것 같아서 다만 이번에 근데 여기 마이에서 제일 좋았던 거는 다른 어플이랑 가장 구분되는 것 중에 하나가 토스는 좀 이렇게 이런 형태긴 한데 앞에 이렇게 로고 들어가 있어서 오히려 그 줄글로만 쭉 되어 있을 때보다 훨씬 가독성이 좋아진 것 같다는 생각이 들어서 이용하기에 좀 편리하다고 생각을 했었고 그리고 이게 다른 증권에서도 다른 증권사 걸 끌어다가 볼 수는 있지만은 그걸 이용해서 바로 매수까지 할 수는 없는 없었거든요.
근데 네이버 페이 증권으로 연결해가지고 바로 그걸로도 연동으로 구매를 할 수 있으면은 매수랑 매도를 할 수 있으면은 그것도 편리하지 않을까"
진행자	"알겠습니다. 바로 이제 매수 매매가 가능하다라는 어떤 기능적인 부분에 대한 의견을 좀 주신 것 같은데요.
하나 좀 여쭤보고 싶은 게 지금 보여지는 자산 현황 화면 있잖아요.
위에 상단에 그리고 이제 아래쪽에 주식 펀드 기타 계좌 그리고 증권사별로 또 어떤 정보들 밑에 나와 있는 것들이 있고요.
그래서 지금 이 화면에서 보여주는 것들 중에 나의 투자 관리 나의 현황을 확인하고 뭔가 이제 판단하는 것들을 좀 도와줄 수 있을 것 같다라고 느껴지는 부분도 있으세요 그 정보 특정 정보라든지"
진행자	그럼 평상시에 확인하시는 것들이 다 있나요? 내가 이제 증권사 들어가서 확인한다고 했을 때
원*정	은정 말이지 몇 십 발이 나왔는데 왜 기억이 안 나는데
진행자	보시면서 말씀
원*정	"근데 이거 그냥 문득 보다 생각이 든 건데 이 어제보다 플러스 얼마 있는 거 이거 좋은 것 같아요.
내가 오늘 어제보다 오늘도 얼마 받았구나 생각할 수 있는 것 같아서 이거는 못 본 약간 항목인데 이거 좀 괜찮은 것 같다는 생각이 잠깐 들었고"
진행자	"넘어갈까요? 네 알겠습니다. 홈 화면으로 이제 이동을 했고요.
동일하게 이제 네 맞아요. 두 번째 페이지에 있는데요.
아까는 이제 위쪽에서 어떻게 쓰시는지 좀 보여주시면서 가볍게만 봤었는데 아래까지 쭉 내려보시면서 어떤 내용을 담고 있는지 확인하실 시간을 조금 더 가져보겠습니다."
진행자	그 부분 좀 왜 눌러보고 싶으신지 좀 설명해 주시면 좋아
원*정	"정확히는 이 투자자들의 속마음이 어떤 식으로 나올지가 궁금했던 건데 일단 카카오 페이에서 비슷한 기능 봤던 것 같아서 예측하기 이런 느낌으로 있었던 것 같거든요.
들고 어떤 식으로 나오는지"
원*정	근데 이렇게 개인
원*정	"이 투자 종목들을 개인화해가지고 추천해 주는 거는 꽤 재밌는 것 같아요.
그러니까 나의 연령대나 아니면 나의 투자 약간 성향이나 아니면 나랑 비슷한 관심사를 가진 사람들이 어떤 거에 더 관심을 두고 추천해 주는 느낌이라 가지고 이런 거는 정보 탐색에 있어서 이것도 좋을 것 같아요.
이거는 이성이 만족스러운데"
원*정	업종별로 이렇게 테마 정리해 놓은 것도 편리하고
진행자	"네 저희가 시간을 좀 가지고 이제 홈 화면을 한번 쭉 봤는데요.
혹시 눈에 좀 들어오는 내용들이 더 있으셨나요? 아까 아래쪽에 있는 거 말씀 주셨던 거 말고도"
진행자	"다른 질문 한번 드려볼게요. 그러면 화면에 보이는 내용 중에 가장 중요하다고 생각하는 순서대로 몇 가지만 말씀해 주시면 어떨까요?
홈에 보이는 내용들 중에"
원*정	중요한 건 당연히 랭킹이 가장 중요한 것 같고요. 왜냐하면 현재 말 그대로 돈이 어디로 모이는지를 알 수 있으니까 그래서 이 랭킹이 가장 중요하다고 생각 그래서 이게 딱 중앙에 있는 점은 좋은 것 같아요.
